State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,1379545,546198,384638,391622,211413,180209,150,91,59,442023,364543,77480,325721,116302,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,32687,65479,2404,314274,133123,291837,282449,168866,101542,79012,856336,320763,202054,5088,35729,86.0,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,4613913,1559414,1212503,1171378,579586,591792,9327,4690,4637,1372032,941890,430142,784272,587760,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,49699,183381,6652,971458,831966,1344726,879745,489060,312571,158303,2930243,965876,699954,20757,116175,102.0,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,1303048,489858,308112,149060,79920,69140,14,10,4,416695,342604,74091,334519,82176,886353,124718,74500,20347,197130,917474,364583,1840,483,161,16139,44732,119121,2989,316046,139646,272939,215070,132197,79475,44164,817140,283276,194548,13301,42998,86.0,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,878285,520083,509307,270226,239081,11159,5606,5553,1152160,895576,256584,743452,408708,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38940,85814,2681,760262,447648,493760,215939,104762,65106,47690,2275746,754346,446242,13451,51784,89.0,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1160960,802630,494698,257624,237074,110114,56817,53297,1019483,723060,296423,569522,449961,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,62157,119972,4672,629381,436021,515010,443440,409484,323582,200434,1975934,724362,502628,10846,65467,94.0,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,544943,323414,277212,145928,131284,24887,12657,12230,760253,534332,225921,458727,301526,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,16229,57400,1551,445838,379253,227932,122911,65516,40633,37109,1415213,442339,283947,6167,37816,93.0,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,630626,372311,387855,208184,179671,163,82,81,701689,485314,216375,483232,218457,1097721,251755,273458,19098,157378,1637549,157612,1367,231,168,916,26907,73522,1655,445625,325773,415195,249238,114783,61702,63112,1120432,408527,265310,5202,32236,86.0,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1010518,681940,864559,453168,411391,610,333,277,1192850,871241,321609,834294,358556,2067849,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,60554,108116,3159,714908,533140,420824,350564,197780,132332,113799,2043335,709494,445269,11935,91664,91.0,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,4448359,1342697,849062,557150,295964,261186,3227,1664,1563,1401971,1153006,248965,1043912,358059,3046388,365985,326376,131699,577911,2830768,1536534,14822,28187,4371,931,210687,272830,15164,994411,717585,641251,442110,272840,172554,146446,2893965,952233,514141,24436,159838,89.0,49.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,819719,574064,513959,262534,251425,3620,1876,1744,783688,558642,225046,443724,339964,1680776,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,37593,108101,3423,545025,470355,349221,324085,211477,162961,143642,1574037,519265,363891,11477,66316,96.0,57.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,3682713,1241471,893922,787444,413872,373572,3058,1588,1470,1088036,921497,166539,839778,248258,2594677,232158,311489,52549,491840,2032081,1585210,6184,50624,1736,2134,128042,268353,7303,908523,498971,827447,549594,255028,159528,148185,2404576,786305,450186,17143,131278,92.0,58.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,3499171,1253314,778342,725600,384743,340857,198,118,80,1173260,897815,275445,885216,288044,2325911,332475,241137,65937,533711,2707195,777407,4088,2765,669,1572,124641,223922,7865,880077,443641,540754,475146,338138,217882,151182,2246254,753949,472808,20979,136765,90.0,58.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,699454,475152,446786,235161,211625,41725,21571,20154,652543,462971,189572,341927,310616,1300213,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,32433,99602,3492,395759,295979,367768,276638,196240,135962,88299,1222695,437000,287767,7313,49064,92.0,60.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,330339,200733,266655,141379,125276,366,196,170,394197,254977,139220,282614,111583,597533,160094,150695,12555,70853,955372,34559,693,63,101,285,11637,41046,827,230795,168472,174106,124256,69641,40266,35826,638046,214228,136669,2805,17911,88.0,54.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1079288,795951,468663,235694,232969,109894,54216,55678,876246,639073,237173,455382,420864,2224700,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,60348,150001,4469,665706,602403,473097,449571,372031,277548,194341,1946336,664708,481219,13388,84941,102.0,60.0
